window_label,event_name,device_category,browser,event_count,unique_users
90 days (available 22 of requested 90),full_resolution_infographic_open,desktop,YaBrowser,2,1
90 days (available 22 of requested 90),full_resolution_infographic_open,mobile,Safari (in-app),1,1
90 days (available 22 of requested 90),guild_raid_youtube_click,mobile,Chrome,304,105
90 days (available 22 of requested 90),guild_raid_youtube_click,desktop,Chrome,180,73
90 days (available 22 of requested 90),guild_raid_youtube_click,mobile,Safari,171,63
90 days (available 22 of requested 90),guild_raid_youtube_click,mobile,Samsung Internet,53,10
90 days (available 22 of requested 90),guild_raid_youtube_click,desktop,Firefox,39,10
90 days (available 22 of requested 90),guild_raid_youtube_click,desktop,Opera,37,8
90 days (available 22 of requested 90),guild_raid_youtube_click,tablet,Chrome,26,6
90 days (available 22 of requested 90),guild_raid_youtube_click,mobile,Firefox,20,4
90 days (available 22 of requested 90),guild_raid_youtube_click,desktop,Edge,13,9
90 days (available 22 of requested 90),guild_raid_youtube_click,desktop,Safari,13,8
90 days (available 22 of requested 90),guild_raid_youtube_click,mobile,Android Webview,10,3
90 days (available 22 of requested 90),guild_raid_youtube_click,desktop,Samsung Internet,1,1
90 days (available 22 of requested 90),guild_raid_youtube_click,mobile,Edge,1,1
90 days (available 22 of requested 90),guild_raid_youtube_click,mobile,Opera,1,1
