SEASON,TIER,video_id,BOSS,TEAM,DAMAGE,CREATOR,VALIDATE_LINK
106,M2,wfLVf7Zso7Y,Mortarion,"Neuro, Abrax, Ahri, Yaz, Rosie","1,250,000",Stringer de Los Redimidos,https://www.youtube.com/watch?v=wfLVf7Zso7Y
106,M2,yDOfO0aEwXY,Mortarion,"Neuro, Abrax, Ahri, Eldy, Rosie","1,000,000",UNDV jonowen,https://www.youtube.com/watch?v=yDOfO0aEwXY
106,M1,oDwQz8YlLWQ,Lion,"Lav, Kari, Traj, Aesoth, Vit","1,450,000",Prufrock,https://www.youtube.com/watch?v=oDwQz8YlLWQ
106,M1,UekSS6iakNE,Lion,"Farsight, Revas, Actus, Darkstrider, Eldy","1,100,000",GarviLoken,https://www.youtube.com/watch?v=UekSS6iakNE
106,L5,i7KSpAVjR8Y,Magnus,"Rag, Forcas, Asmo, Aunshi, Helb","1,200,000",Painhawk,https://www.youtube.com/watch?v=i7KSpAVjR8Y
106,L5,doBjk8eUinI,Magnus,"Kari, Traj, Kharn, Rag, Helb","1,100,000",Ulf,https://www.youtube.com/watch?v=doBjk8eUinI
106,L5,dgTNhzPZcXI,Magnus,"Rho, Tan, Actus, Helb, Sho","981,000",Yagyuu,https://www.youtube.com/watch?v=dgTNhzPZcXI
106,L4,pS0D8UQ_kv4,Szarekh,"Lav, Kari, Traj, Boss, Aesoth","2,940,000",Mawg,https://www.youtube.com/watch?v=pS0D8UQ_kv4
106,L4,LRtGzA-RRMM,Szarekh,"Rho, Tan, Actus, Vit, Sho","1,600,000",Un4given,https://www.youtube.com/watch?v=LRtGzA-RRMM
106,L3,Hf5j6qg1jtU,Ghaz,"Lav, Kari, Traj, Kharn, Vit","1,670,000",Painhawk,https://www.youtube.com/watch?v=Hf5j6qg1jtU
106,L3,i1YgoVnKY0c,Ghaz,"Farsight, Revas, Actus, Darkstrider, Eldy","1,300,000",Lyell,https://www.youtube.com/watch?v=i1YgoVnKY0c
106,L2,XLcECO6lJA0,Avatar,"Lav, Kari, Traj, Boss, Vit","2,100,000",Prufrock,https://www.youtube.com/watch?v=XLcECO6lJA0
106,L2,LoL5L2SSLgA,Avatar,"Rho, Tan, Actus, Vit, Boss","1,390,000",Yagyuu,https://www.youtube.com/watch?v=LoL5L2SSLgA
106,L1,_RpiTVyoI98,Dorn,"Lav, Kari, Traj, Boss, Vit","1,500,000",Kyle UK 40k,https://www.youtube.com/watch?v=_RpiTVyoI98
106,L1,MXPm2jXwR4c,Dorn,"Rho, Tan, Actus, Vit, Sho","1,300,000",Jordan,https://www.youtube.com/watch?v=MXPm2jXwR4c
107,M3,w1aaDpkM9fA,Mortarion,"Lav, Kari, Traj, Boss, Atla","1,950,000",Mawg,https://www.youtube.com/watch?v=w1aaDpkM9fA
107,M3,bMXdW1E-FdQ,Mortarion,"Lav, Kari, Traj, Boss, Helb","1,000,000",Ulf,https://www.youtube.com/watch?v=bMXdW1E-FdQ
107,M3,wfLVf7Zso7Y,Mortarion,"Neuro, Abrax, Ahri, Yaz, Rosie","1,250,000",Stringer de Los Redimidos,https://www.youtube.com/watch?v=wfLVf7Zso7Y
107,M3,v7Nxk_NLreA,Mortarion,"Neuro, Abrax, Ahri, Yaz, Rosie","870,000",UNDV jonowen,https://www.youtube.com/watch?v=v7Nxk_NLreA
107,M3,v9wIWd9rKbE,Mortarion,"Rho, Tan, Actus, Helb, Aleph","1,000,000",Lyell,https://www.youtube.com/watch?v=v9wIWd9rKbE
107,M3,ePf7Ak6aQBA,Mortarion,"Rho, Tan, Actus, Helb, Aleph","978,000",Yagyuu,https://www.youtube.com/watch?v=ePf7Ak6aQBA
107,M2,BLZV104fRsw,Lion,"Lav, Kari, Traj, Aesoth, Vit","1,520,000",Jordan,https://www.youtube.com/watch?v=BLZV104fRsw
107,M2,UekSS6iakNE,Lion,"Farsight, Revas, Actus, Darkstrider, Eldy","1,100,000",GarviLoken,https://www.youtube.com/watch?v=UekSS6iakNE
107,M2,LFadN-J6CUE,Lion,"Neuro, Abrax, Ahri, Abaddon, Archi","1,000,000",Tactical Raven,https://www.youtube.com/watch?v=LFadN-J6CUE
107,M1,ypQl0elyBNE,Szarekh,"Lav, Kari, Traj, Boss, Aesoth","2,700,000",Kitty Bebop,https://www.youtube.com/watch?v=ypQl0elyBNE
107,M1,JBEzHf7ZKO8,Szarekh,"Rho, Tan, Actus, Vit, Boss","1,700,000",Un4given,https://www.youtube.com/watch?v=JBEzHf7ZKO8
107,M1,tFaSYBcLato,Szarekh,"Farsight, Revas, Actus, Darkstrider, Eldy","1,300,000",JurassicKyle,https://www.youtube.com/watch?v=tFaSYBcLato
