Order_Old,Final_STATUS,Boss,Tier,Damage,Team,Replay,Team (no MoW),view_count,upload_date,creator_name,creator_channel_link,team_key,tier_weight,days_old,date_weight,damage_num,replay_scaled_damage,team_frequency_count,frequency_weight,meta_score
97,ALTERNATE,Magnus,L5,"987,000","Rag, Forcas, Asmo, Aunshi, Helb, Biovore",https://www.youtube.com/shorts/tBA8P89S6Dg,"Rag, Forcas, Asmo, Aunshi, Helb",2938,2025-11-13,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Asmo|Aunshi|Forcas|Helb|Rag,1.33,202,0.6943600087,987000,1312710,3,0.6,546895.9962
108,META,Mortarion,M1,"1,630,000","Lav, Kari, Traj, Boss, Atla, Biovore",https://www.youtube.com/shorts/IrBhWwFkz5c,"Lav, Kari, Traj, Boss, Atla",6137,2026-04-28,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Atla|Boss|Kari|Lav|Traj,1.42,36,0.9370603681,1630000,2314600,3,0.75,1626689.946
111,META,Mortarion,M1,"1,360,000","Lav, Kari, Traj, Boss, Atla, Biovore",https://www.youtube.com/shorts/TyI9z2rNs28,"Lav, Kari, Traj, Boss, Atla",2654,2026-04-24,Blackmane Gaming,https://www.youtube.com/channel/UCLrB27ANGanANplNi4IhQ-Q,Atla|Boss|Kari|Lav|Traj,1.42,40,0.9303163073,1360000,1931200,3,0.75,1347470.139
112,META,Mortarion,M2,"1,200,000","Lav, Kari, Traj, Boss, Atla, Biovore",https://www.youtube.com/shorts/amLBjOxMw9M,"Lav, Kari, Traj, Boss, Atla",966,2026-05-22,Don’t Call Me Shirley Tacticus Replays,https://www.youtube.com/channel/UC4LAYsfuUm76UkmU77PddMw,Atla|Boss|Kari|Lav|Traj,1.5,12,0.9785638996,1200000,1800000,3,0.75,1321061.265
114,,Mortarion,M1,"1,200,000","Lav, Kari, Traj, Boss, Helb, Biovore",https://www.youtube.com/shorts/PjxR3D_7VLQ,"Lav, Kari, Traj, Boss, Helb",1168,2026-04-30,Kitty Bebop,https://www.youtube.com/channel/UCsaYguE7v4yz7biFoG3YYZA,Boss|Helb|Kari|Lav|Traj,1.42,34,0.9404507099,1200000,1704000,4,1,1602528.01
113,,Mortarion,M2,"1,100,000","Lav, Kari, Traj, Boss, Helb, Biovore",https://www.youtube.com/shorts/4akbSdPh63g,"Lav, Kari, Traj, Boss, Helb",929,2026-05-22,PoH Tacticus,https://www.youtube.com/channel/UCdx0ClgqL6c_OMZwCl-UtmA,Boss|Helb|Kari|Lav|Traj,1.5,12,0.9785638996,1100000,1650000,4,1,1614630.434
104,ALTERNATE,Mortarion,L4,"1,070,000","Rho, Tan, Actus, Helb, Aleph, Galatian",https://www.youtube.com/shorts/QNmVhcNXKT8,"Rho, Tan, Actus, Helb, Aleph",6163,2025-09-15,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Actus|Aleph|Helb|Rho|Tan,1.25,261,0.6241872375,1070000,1337500,2,0.5,417425.2151
110,,Mortarion,M1,"1,000,000","Lav, Kari, Traj, Boss, Helb, Biovore",https://www.youtube.com/shorts/pvWQA_XkI3Y,"Lav, Kari, Traj, Boss, Helb",1631,2026-04-24,Don’t Call Me Shirley Tacticus Replays,https://www.youtube.com/channel/UC4LAYsfuUm76UkmU77PddMw,Boss|Helb|Kari|Lav|Traj,1.42,40,0.9303163073,1000000,1420000,4,1,1321049.156
107,,Mortarion,L5,"890,000","Lav, Kari, Traj, Boss, Helb, Biovore",https://www.youtube.com/shorts/97K8NUquFrc,"Lav, Kari, Traj, Boss, Helb",2681,2026-02-26,Blackmane Gaming,https://www.youtube.com/channel/UCLrB27ANGanANplNi4IhQ-Q,Boss|Helb|Kari|Lav|Traj,1.33,97,0.8393233137,890000,1183700,4,1,993507.0065
109,ALTERNATE,Mortarion,M1,"838,000","Rho, Tan, Actus, Helb, Aleph, Galatian",https://www.youtube.com/shorts/H1QN5woiaZY,"Rho, Tan, Actus, Helb, Aleph",3660,2026-01-30,HozzMidnight,https://www.youtube.com/channel/UCQYULaZw-03dyf5_yQHfbxQ,Actus|Aleph|Helb|Rho|Tan,1.42,124,0.7993831034,838000,1189960,2,0.5,475616.9589
